method;MACD.short;MACD.long;MACD.signal;MACD.thresholds.down;MACD.thresholds.up;currency;asset;candleSize;historySize;trades;relativeResult;
"MACD";10;26;8;-0.024999999999999998;0.02;USDT;ETH;60;1;337;-293.2478;
"MACD";10;26;8;-0.024999999999999998;0.025;USDT;ETH;60;1;335;-296.1471;
"MACD";10;26;9;-0.03;0.02;USDT;ETH;60;1;317;-280.6696;
"MACD";10;26;9;-0.03;0.025;USDT;ETH;60;1;313;-283.5329;
"MACD";10;26;9;-0.024999999999999998;0.02;USDT;ETH;60;1;331;-295.3182;
"MACD";10;26;9;-0.024999999999999998;0.025;USDT;ETH;60;1;325;-296.4860;
"MACD";10;26;10;-0.03;0.02;USDT;ETH;60;1;305;-277.3504;
"MACD";10;26;10;-0.03;0.025;USDT;ETH;60;1;303;-284.5851;
"MACD";10;26;10;-0.024999999999999998;0.02;USDT;ETH;60;1;319;-290.2273;
"MACD";10;26;10;-0.024999999999999998;0.025;USDT;ETH;60;1;315;-296.3192;
"MACD";15;16;8;-0.03;0.02;USDT;ETH;60;1;153;-182.8570;
"MACD";15;16;8;-0.03;0.025;USDT;ETH;60;1;143;-166.3144;
"MACD";15;16;8;-0.024999999999999998;0.02;USDT;ETH;60;1;165;-252.7108;
"MACD";15;16;8;-0.024999999999999998;0.025;USDT;ETH;60;1;153;-246.1759;
"MACD";15;16;9;-0.03;0.02;USDT;ETH;60;1;155;-242.1460;
"MACD";15;16;9;-0.03;0.025;USDT;ETH;60;1;147;-262.3207;
"MACD";15;16;9;-0.024999999999999998;0.02;USDT;ETH;60;1;161;-247.0428;
"MACD";15;16;9;-0.024999999999999998;0.025;USDT;ETH;60;1;151;-269.7387;
"MACD";15;16;10;-0.03;0.02;USDT;ETH;60;1;155;-248.3407;
"MACD";15;16;10;-0.03;0.025;USDT;ETH;60;1;149;-271.4035;
"MACD";15;16;10;-0.024999999999999998;0.02;USDT;ETH;60;1;160;-282.4003;
"MACD";15;16;10;-0.024999999999999998;0.025;USDT;ETH;60;1;152;-295.1961;
"MACD";15;21;8;-0.03;0.02;USDT;ETH;60;1;229;-208.8494;
"MACD";15;21;8;-0.03;0.025;USDT;ETH;60;1;225;-229.5805;
"MACD";15;21;8;-0.024999999999999998;0.02;USDT;ETH;60;1;235;-217.4292;
"MACD";15;21;8;-0.024999999999999998;0.025;USDT;ETH;60;1;229;-241.1697;
"MACD";15;21;9;-0.03;0.02;USDT;ETH;60;1;219;-184.6756;
"MACD";15;21;9;-0.03;0.025;USDT;ETH;60;1;215;-201.9735;
"MACD";15;21;9;-0.024999999999999998;0.02;USDT;ETH;60;1;229;-210.0354;
"MACD";15;21;9;-0.024999999999999998;0.025;USDT;ETH;60;1;223;-221.8269;
"MACD";15;21;10;-0.03;0.02;USDT;ETH;60;1;219;-177.1909;
"MACD";15;21;10;-0.03;0.025;USDT;ETH;60;1;213;-172.9477;
"MACD";15;21;10;-0.024999999999999998;0.02;USDT;ETH;60;1;221;-163.5538;
"MACD";15;21;10;-0.024999999999999998;0.025;USDT;ETH;60;1;215;-165.8277;
"MACD";15;26;8;-0.03;0.02;USDT;ETH;60;1;239;-203.5267;
"MACD";15;26;8;-0.03;0.025;USDT;ETH;60;1;235;-214.8284;
"MACD";15;26;8;-0.024999999999999998;0.02;USDT;ETH;60;1;245;-215.2923;
"MACD";15;26;8;-0.024999999999999998;0.025;USDT;ETH;60;1;239;-218.1859;
"MACD";15;26;9;-0.03;0.02;USDT;ETH;60;1;233;-218.2063;
"MACD";15;26;9;-0.03;0.025;USDT;ETH;60;1;231;-227.5049;
"MACD";15;26;9;-0.024999999999999998;0.02;USDT;ETH;60;1;239;-220.4421;
"MACD";15;26;9;-0.024999999999999998;0.025;USDT;ETH;60;1;235;-222.8395;
"MACD";15;26;10;-0.03;0.02;USDT;ETH;60;1;221;-189.0920;
"MACD";15;26;10;-0.03;0.025;USDT;ETH;60;1;217;-193.1635;
"MACD";15;26;10;-0.024999999999999998;0.02;USDT;ETH;60;1;225;-192.2855;
"MACD";15;26;10;-0.024999999999999998;0.025;USDT;ETH;60;1;221;-197.3503;
