method;startTime;endTime;currency;asset;candleSize;historySize;PPR_available.bellowMax;PPR_available.upperMin;trades;market;relativeProfit;startBalance;startPrice;endPrice;balance;profit;relativeResult;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.99;1.01;50;3.7513;2.0189;965;965;4585.00000001;2913.242013156354;1948.242013156354;-1671.7580;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.99;1.02;48;3.7513;1.7324;965;965;4585.00000001;2636.7545004557505;1671.7545004557505;-1948.2455;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.99;1.03;46;3.7513;1.3930;965;965;4585.00000001;2309.239651605036;1344.2396516050362;-2275.7603;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.99;1.04;46;3.7513;1.2588;965;965;4585.00000001;2179.714914654754;1214.714914654754;-2405.2851;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.99;1.05;30;3.7513;2.0691;965;965;4585.00000001;2961.67226775646;1996.6722677564599;-1623.3277;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.99;1.06;26;3.7513;2.0697;965;965;4585.00000001;2962.2490149064606;1997.2490149064606;-1622.7510;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.99;1.07;32;3.7513;0.9931;965;965;4585.00000001;1923.368573354195;958.368573354195;-2661.6314;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.98;1.01;42;3.7513;2.2639;965;965;4585.00000001;3149.6467681068693;2184.6467681068693;-1435.3532;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.98;1.02;40;3.7513;2.1495;965;965;4585.00000001;3039.2564741066285;2074.2564741066285;-1545.7435;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.98;1.03;40;3.7513;1.6870;965;965;4585.00000001;2592.9739402056553;1627.9739402056553;-1992.0261;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.98;1.04;42;3.7513;1.1698;965;965;4585.00000001;2093.8457050045668;1128.8457050045668;-2491.1543;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.98;1.05;36;3.7513;1.7808;965;965;4585.00000001;2683.503435555853;1718.5034355558528;-1901.4966;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.98;1.06;32;3.7513;1.6658;965;965;4585.00000001;2572.5108101056103;1607.5108101056103;-2012.4892;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.98;1.07;30;3.7513;1.3679;965;965;4585.00000001;2285.0074681049837;1320.0074681049837;-2299.9925;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.97;1.01;34;3.7513;2.5912;965;965;4585.00000001;3465.5557898575585;2500.5557898575585;-1119.4442;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.97;1.02;30;3.7513;2.5823;965;965;4585.00000001;3456.9293416075398;2491.9293416075398;-1128.0707;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.97;1.03;30;3.7513;3.0251;965;965;4585.00000001;3884.1814203584713;2919.1814203584713;-700.8186;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.97;1.04;32;3.7513;2.3642;965;965;4585.00000001;3246.4749989070806;2281.4749989070806;-1338.5250;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.97;1.05;28;3.7513;3.0212;965;965;4585.00000001;3880.435750458463;2915.435750458463;-704.5642;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.97;1.06;24;3.7513;3.0559;965;965;4585.00000001;3913.933072708536;2948.933072708536;-671.0669;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.97;1.07;24;3.7513;2.0005;965;965;4585.00000001;2895.463492256315;1930.463492256315;-1689.5365;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.96;1.01;34;3.7513;2.4882;965;965;4585.00000001;3366.082105757341;2401.082105757341;-1218.9179;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.96;1.02;32;3.7513;2.2559;965;965;4585.00000001;3141.9867920068527;2176.9867920068527;-1443.0132;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.96;1.03;32;3.7513;2.6584;965;965;4585.00000001;3530.3141923076996;2565.3141923076996;-1054.6858;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.96;1.04;34;3.7513;1.9850;965;965;4585.00000001;2880.4992902062822;1915.4992902062822;-1704.5007;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.96;1.05;26;3.7513;2.1931;965;965;4585.00000001;3081.3862509567202;2116.3862509567202;-1503.6137;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.96;1.06;24;3.7513;2.1231;965;965;4585.00000001;3013.7652954565733;2048.7652954565733;-1571.2347;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.96;1.07;22;3.7513;1.5644;965;965;4585.00000001;2474.606479805397;1509.6064798053972;-2110.3935;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.95;1.01;30;3.7513;2.9551;965;965;4585.00000001;3816.6741270083244;2851.6741270083244;-768.3259;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.95;1.02;28;3.7513;2.9322;965;965;4585.00000001;3794.594692708276;2829.594692708276;-790.4053;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.95;1.03;28;3.7513;3.4182;965;965;4585.00000001;4263.579854109299;3298.579854109299;-321.4201;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.95;1.04;30;3.7513;2.6545;965;965;4585.00000001;3526.5604528076915;2561.5604528076915;-1058.4395;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.95;1.05;22;3.7513;3.1944;965;965;4585.00000001;4047.630113808828;3082.630113808828;-537.3699;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.95;1.06;22;3.7513;2.7897;965;965;4585.00000001;3657.064637457976;2692.064637457976;-927.9354;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.95;1.07;20;3.7513;2.2204;965;965;4585.00000001;3107.639594156778;2142.639594156778;-1477.3604;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.94;1.01;28;3.7513;3.1203;965;965;4585.00000001;3976.0936600086716;3011.0936600086716;-608.9063;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.94;1.02;26;3.7513;3.0965;965;965;4585.00000001;3953.0919529586217;2988.0919529586217;-631.9080;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.94;1.03;26;3.7513;3.6028;965;965;4585.00000001;4441.666297609688;3476.6662976096877;-143.3337;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.94;1.04;28;3.7513;2.8999;965;965;4585.00000001;3763.405367758208;2798.405367758208;-821.5946;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.94;1.05;20;3.7513;3.4761;965;965;4585.00000001;4319.470224659421;3354.4702246594206;-265.5298;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.94;1.06;20;3.7513;3.0442;965;965;4585.00000001;3902.674238408512;2937.674238408512;-682.3258;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.94;1.07;18;3.7513;2.9090;965;965;4585.00000001;3772.1887605582274;2807.1887605582274;-812.8112;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.9299999999999999;1.01;20;3.7513;3.9013;965;965;4585.00000001;4729.750834210316;3764.7508342103156;144.7508;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.9299999999999999;1.02;20;3.7513;3.7703;965;965;4585.00000001;4603.30506231004;3638.30506231004;18.3051;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.9299999999999999;1.03;22;3.7513;3.9903;965;965;4585.00000001;4815.657778410503;3850.657778410503;230.6578;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.9299999999999999;1.04;22;3.7513;3.5414;965;965;4585.00000001;4382.418423259558;3417.418423259558;-202.5816;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.9299999999999999;1.05;14;3.7513;4.3450;965;965;4585.00000001;5157.95040321125;4192.95040321125;572.9504;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.9299999999999999;1.06;14;3.7513;3.9536;965;965;4585.00000001;4780.1990848604255;3815.1990848604255;195.1991;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;BTC;1440;1;0.9299999999999999;1.07;14;3.7513;3.3617;965;965;4585.00000001;4209.07213615918;3244.0721361591804;-375.9279;
