method;startTime;endTime;currency;asset;candleSize;historySize;PPR_available.bellowMax;PPR_available.upperMin;trades;market;relativeProfit;startBalance;startPrice;endPrice;balance;profit;relativeResult;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;1440;1;0.99;1.01;32;8.7337;4.8682;0.008335;0.008335;0.08113001;0.0489117439927103;0.0405767439927103;-0.0322;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;1440;1;0.99;1.02;32;8.7337;5.6340;0.008335;0.008335;0.08113001;0.055294069072489;0.046959069072489;-0.0258;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;1440;1;0.99;1.03;30;8.7337;4.4524;0.008335;0.008335;0.08113001;0.045445991660525306;0.037110991660525304;-0.0357;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;1440;1;0.99;1.04;30;8.7337;4.3974;0.008335;0.008335;0.08113001;0.0449869134424398;0.0366519134424398;-0.0361;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;1440;1;0.99;1.05;28;8.7337;4.3773;0.008335;0.008335;0.08113001;0.0448196266070202;0.0364846266070202;-0.0363;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;1440;1;0.99;1.06;28;8.7337;4.2139;0.008335;0.008335;0.08113001;0.0434577149777524;0.0351227149777524;-0.0377;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;1440;1;0.99;1.07;28;8.7337;2.8998;0.008335;0.008335;0.08113001;0.0325046143775847;0.0241696143775847;-0.0486;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;1440;1;0.98;1.01;32;8.7337;4.6985;0.008335;0.008335;0.08113001;0.0474969112579195;0.0391619112579195;-0.0336;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;1440;1;0.98;1.02;32;8.7337;5.4421;0.008335;0.008335;0.08113001;0.05369458281233801;0.045359582812338005;-0.0274;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;1440;1;0.98;1.03;30;8.7337;4.2947;0.008335;0.008335;0.08113001;0.0441314542779968;0.0357964542779968;-0.0370;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;1440;1;0.98;1.04;30;8.7337;4.2412;0.008335;0.008335;0.08113001;0.043685665966849405;0.0353506659668494;-0.0374;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;1440;1;0.98;1.05;28;8.7337;4.2217;0.008335;0.008335;0.08113001;0.043523205555724705;0.0351882055557247;-0.0376;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;1440;1;0.98;1.06;28;8.7337;4.0631;0.008335;0.008335;0.08113001;0.0422006874141125;0.0338656874141125;-0.0389;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;1440;1;0.98;1.07;28;8.7337;2.7870;0.008335;0.008335;0.08113001;0.0315643727300915;0.0232293727300915;-0.0496;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;1440;1;0.97;1.01;34;8.7337;6.4669;0.008335;0.008335;0.08113001;0.0622364467807992;0.053901446780799195;-0.0189;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;1440;1;0.97;1.02;30;8.7337;7.0197;0.008335;0.008335;0.08113001;0.0668439993460213;0.058508999346021294;-0.0143;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;1440;1;0.97;1.03;28;8.7337;5.5913;0.008335;0.008335;0.08113001;0.0549388405124039;0.0466038405124039;-0.0262;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;1440;1;0.97;1.04;28;8.7337;5.5248;0.008335;0.008335;0.08113001;0.0543838560755971;0.0460488560755971;-0.0267;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;1440;1;0.97;1.05;26;8.7337;5.5005;0.008335;0.008335;0.08113001;0.0541816752228765;0.0458466752228765;-0.0269;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;1440;1;0.97;1.06;26;8.7337;5.3030;0.008335;0.008335;0.08113001;0.0525352779683433;0.0442002779683433;-0.0286;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;1440;1;0.97;1.07;26;8.7337;3.7144;0.008335;0.008335;0.08113001;0.039294241314367005;0.030959241314367003;-0.0418;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;1440;1;0.96;1.01;26;8.7337;6.3908;0.008335;0.008335;0.08113001;0.061602276209032;0.053267276209031995;-0.0195;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;1440;1;0.96;1.02;24;8.7337;7.4177;0.008335;0.008335;0.08113001;0.0701618630281777;0.0618268630281777;-0.0110;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;1440;1;0.96;1.03;24;8.7337;5.6394;0.008335;0.008335;0.08113001;0.0553397428342187;0.047004742834218696;-0.0258;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;1440;1;0.96;1.04;24;8.7337;5.6394;0.008335;0.008335;0.08113001;0.0553397428342187;0.047004742834218696;-0.0258;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;1440;1;0.96;1.05;24;8.7337;5.3383;0.008335;0.008335;0.08113001;0.052829978673167806;0.044494978673167804;-0.0283;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;1440;1;0.96;1.06;24;8.7337;5.1457;0.008335;0.008335;0.08113001;0.0512246031855909;0.042889603185590895;-0.0299;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;1440;1;0.96;1.07;24;8.7337;3.6246;0.008335;0.008335;0.08113001;0.0385464400505938;0.0302114400505938;-0.0426;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;1440;1;0.95;1.01;26;8.7337;7.8922;0.008335;0.008335;0.08113001;0.0741161843370832;0.0657811843370832;-0.0070;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;1440;1;0.95;1.02;24;8.7337;6.8740;0.008335;0.008335;0.08113001;0.0656297305428518;0.0572947305428518;-0.0155;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;1440;1;0.95;1.03;24;8.7337;5.2106;0.008335;0.008335;0.08113001;0.051765082387909805;0.0434300823879098;-0.0294;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;1440;1;0.95;1.04;24;8.7337;5.2106;0.008335;0.008335;0.08113001;0.051765082387909805;0.0434300823879098;-0.0294;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;1440;1;0.95;1.05;24;8.7337;4.9289;0.008335;0.008335;0.08113001;0.049417372987933604;0.0410823729879336;-0.0317;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;1440;1;0.95;1.06;24;8.7337;4.7487;0.008335;0.008335;0.08113001;0.0479157400667439;0.0395807400667439;-0.0332;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;1440;1;0.95;1.07;24;8.7337;3.3259;0.008335;0.008335;0.08113001;0.0360564902718852;0.027721490271885196;-0.0451;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;1440;1;0.94;1.01;24;8.7337;6.9329;0.008335;0.008335;0.08113001;0.06612058495195401;0.05778558495195401;-0.0150;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;1440;1;0.94;1.02;22;8.7337;6.0246;0.008335;0.008335;0.08113001;0.0585496257182655;0.050214625718265495;-0.0226;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;1440;1;0.94;1.03;22;8.7337;5.5198;0.008335;0.008335;0.08113001;0.0543426022768122;0.0460076022768122;-0.0268;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;1440;1;0.94;1.04;20;8.7337;5.7156;0.008335;0.008335;0.08113001;0.055974652500377;0.047639652500377;-0.0252;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;1440;1;0.94;1.05;20;8.7337;5.6538;0.008335;0.008335;0.08113001;0.0554590258540214;0.047124025854021395;-0.0257;
"PPR_available";"2017-01-01 00:00:00";"2017-08-30 00:00:00";BTC;ETH;1440;1;0.94;1.06;20;8.7337;5.4516;0.008335;0.008335;0.08113001;0.0537738346626065;0.045438834662606495;-0.0274;
