method;startTime;endTime;currency;asset;candleSize;historySize;PPR_multiple.Multiples.names;trades;market;relativeProfit;startBalance;startPrice;endPrice;balance;profit;relativeResult;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["RSI","UO","UO"];1;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","CCI","CCI"];4;45.1775;0.9781;8.04482173;8.04482173;371.49;15.91383045;7.86900872;-355.5762;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","CCI","DEMA"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","CCI","MACD"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","CCI","PPO"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","CCI","RSI"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","CCI","TSI"];4;45.1775;0.9781;8.04482173;8.04482173;371.49;15.91383045;7.86900872;-355.5762;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","CCI","UO"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","DEMA","CCI"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","DEMA","DEMA"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","DEMA","MACD"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","DEMA","PPO"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","DEMA","RSI"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","DEMA","TSI"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","DEMA","UO"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","MACD","CCI"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","MACD","DEMA"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","MACD","MACD"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","MACD","PPO"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","MACD","RSI"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","MACD","TSI"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","MACD","UO"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","PPO","CCI"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","PPO","DEMA"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","PPO","MACD"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","PPO","PPO"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","PPO","RSI"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","PPO","TSI"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","PPO","UO"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","RSI","CCI"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","RSI","DEMA"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","RSI","MACD"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","RSI","PPO"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","RSI","RSI"];2;45.1775;30.4784;8.04482173;8.04482173;371.49;253.238;245.19317827;-118.2520;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","RSI","TSI"];2;45.1775;30.4784;8.04482173;8.04482173;371.49;253.238;245.19317827;-118.2520;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","RSI","UO"];1;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","TSI","CCI"];4;45.1775;0.9781;8.04482173;8.04482173;371.49;15.91383045;7.86900872;-355.5762;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","TSI","DEMA"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","TSI","MACD"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","TSI","PPO"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","TSI","RSI"];2;45.1775;30.4784;8.04482173;8.04482173;371.49;253.238;245.19317827;-118.2520;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","TSI","TSI"];8;45.1775;0.6162;8.04482173;8.04482173;371.49;13.00217271;4.957350979999999;-358.4878;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","TSI","UO"];1;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","UO","CCI"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","UO","DEMA"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","UO","MACD"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","UO","PPO"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","UO","RSI"];1;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","UO","TSI"];1;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["TSI","UO","UO"];1;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
"PPR_multiple";"2017-01-01 00:00:00";"2017-08-30 00:00:00";USDT;ETH;60;1;["UO","CCI","CCI"];0;45.1775;45.1775;8.04482173;8.04482173;371.49;371.49;363.44517827;0.0000;
